URL,District,Asking Price,PSF,Nearest MRT + Distance,Land Size,Tenure,Agent Name
https://www.commercialguru.com.sg/listing/for-sale-the-central-500006092,8 Eu Tong Sen Street,"S$ 1,900,000","S$ 2,941",230 m (3 mins) from NE5 Clarke Quay MRT,646,Office for sale,Henry Guo
https://www.commercialguru.com.sg/listing/for-sale-the-central-21296094,6 Eu Tong Sen Street,"S$ 1,988,888","S$ 1,989",40 m (1 min) from NE5 Clarke Quay MRT,"1,000",Office for sale,David Lim Wee Seng
https://www.commercialguru.com.sg/listing/for-sale-the-central-24118762,8 Eu Tong Sen Street,"S$ 1,920,000","S$ 2,972",230 m (3 mins) from NE5 Clarke Quay MRT,646,Office for sale,Michelle Leong
https://www.commercialguru.com.sg/listing/for-sale-the-central-60222149,6 Eu Tong Sen Street,"S$ 1,850,000","S$ 2,913",40 m (1 min) from NE5 Clarke Quay MRT,635,Office for sale,Lilian Sim
https://www.commercialguru.com.sg/listing/for-sale-soho2-central-500053309,12 Eu Tong Sen Street,"S$ 1,850,000","S$ 2,913",260 m (3 mins) from NE5 Clarke Quay MRT,635,Office for sale,Lilian Sim
https://www.commercialguru.com.sg/listing/for-sale-soho2-central-60101594,12 Eu Tong Sen Street,"S$ 1,650,000","S$ 2,598",260 m (3 mins) from NE5 Clarke Quay MRT,635,Office for sale,Seow Yun Ye (Bob)
https://www.commercialguru.com.sg/listing/for-sale-people-s-park-complex-20602164,1 Park Road,"S$ 1,150,000","S$ 3,343",160 m (2 mins) from NE4/DT19 Chinatown MRT,344,Mall Shop for sale,Foo Hoo Seng
https://www.commercialguru.com.sg/listing/for-sale-people-s-park-complex-500013446,1 Park Road,"S$ 1,420,000","S$ 3,142",160 m (2 mins) from NE4/DT19 Chinatown MRT,452,Other Retail for sale,Hazel Chan
https://www.commercialguru.com.sg/listing/for-sale-ps100-25009699,100 PECK SEAH STREET,"S$ 1,350,000","S$ 2,848",380 m (5 mins) from EW15 Tanjong Pagar MRT,474,Office for sale,Anne Chia
https://www.commercialguru.com.sg/listing/for-sale-eon-shenton-25445126,70 Shenton Way,"S$ 1,280,000","S$ 2,530",50 m (1 min) from CC32 Prince Edward Road MRT,506,Office for sale,Idy Tee
https://www.commercialguru.com.sg/listing/for-sale-the-central-500082855,12 Eu Tong Sen Street,"S$ 1,800,000","S$ 2,885",230 m (3 mins) from NE5 Clarke Quay MRT,624,Office for sale,Jenna Tong
https://www.commercialguru.com.sg/listing/for-sale-soho2-central-500082799,12 Eu Tong Sen Street,"S$ 1,800,000","S$ 2,885",260 m (3 mins) from NE5 Clarke Quay MRT,624,Office for sale,Jenna Tong
https://www.commercialguru.com.sg/listing/for-sale-people-s-park-complex-60171428,1 Park Road,"S$ 1,200,000","S$ 5,063",160 m (2 mins) from NE4/DT19 Chinatown MRT,237,Other Retail for sale,Timothy Tan
https://www.commercialguru.com.sg/listing/for-sale-international-plaza-500069905,10 Anson Road,"S$ 1,000,000","S$ 2,160",250 m (3 mins) from EW15 Tanjong Pagar MRT,463,Office for sale,Navin Bafna
https://www.commercialguru.com.sg/listing/for-sale-ps100-25522176,100 PECK SEAH STREET,"S$ 1,488,888","S$ 2,942",380 m (5 mins) from EW15 Tanjong Pagar MRT,506,Office for sale,Kavin Kuah
https://www.commercialguru.com.sg/listing/for-sale-the-central-24665796,6 Eu Tong Sen Street,"S$ 1,850,000","S$ 2,864",40 m (1 min) from NE5 Clarke Quay MRT,646,Office for sale,Eden Tan
https://www.commercialguru.com.sg/listing/for-sale-international-plaza-25483851,10 Anson Road,"S$ 1,685,000","S$ 1,800",100 m (1 min) from EW15 Tanjong Pagar MRT,936,Office for sale,Kelvin Ng
https://www.commercialguru.com.sg/listing/for-sale-hong-lim-complex-60103212,531 Upper Cross Street,"S$ 1,550,000","S$ 2,324",230 m (3 mins) from NE4/DT19 Chinatown MRT,667,Shop / Shophouse for sale,Darrio .
https://www.commercialguru.com.sg/listing/for-sale-international-plaza-500071530,10 Anson Road,"S$ 1,788,000","S$ 1,910",250 m (3 mins) from EW15 Tanjong Pagar MRT,936,Office for sale,Annabelle Tee
https://www.commercialguru.com.sg/listing/for-sale-international-plaza-21905781,10 Anson Road,"S$ 1,018,000","S$ 2,199",250 m (3 mins) from EW15 Tanjong Pagar MRT,463,Office for sale,StartWise Team (Owner) Hotline 8am-10pm Daily
https://www.commercialguru.com.sg/listing/for-sale-international-plaza-25477344,10 Anson Road,"S$ 1,700,000","S$ 1,816",250 m (3 mins) from EW15 Tanjong Pagar MRT,936,Business / Science Park for sale,Ong Beng Yew
https://www.commercialguru.com.sg/listing/for-sale-people-s-park-centre-25637900,Upper Cross Street,"S$ 1,950,000","S$ 3,482",80 m (1 min) from NE4/DT19 Chinatown MRT,560,Mall Shop for sale,Lee Christina
